year,artist,track,length,genre,first_apperence,highest_data,weeks_active,number_1_weeks
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,11.0
2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,10.0
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,4.0
2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,4.0
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,4.0
2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,3.0
2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,3.0
2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,3.0
2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,2.0
2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,2.0
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,2.0
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,2.0
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,2.0
2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,2.0
2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,2.0
2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,2.0
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,2.0
2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,0.0
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,0.0
2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,0.0
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,0.0
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,0.0
2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,20,0.0
2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,32,0.0
2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,53,0.0
2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,28,0.0
2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,22,0.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,28,0.0
2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,44,0.0
2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,32,0.0
2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,23,0.0
2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,19,0.0
2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,27,0.0
2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,22,0.0
2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,29,0.0
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,21,0.0
2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,27,0.0
